rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing CTAs,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"Multiple competing CTAs on the homepage and all pages create ambiguity about which path to take, diluting the primary conversion action.",Multiple different CTAs all leading to the same coverage check create ambiguity about which path to take.,"cta: One primary CTA for coverage check, secondary actions de-emphasized.; notes: Consolidate coverage-check CTAs into one primary action with a single label.",CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_1_competing_ctas.html
2,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded: meta description, Open Graph tags are missing or outside recommended lengths.","Search and social previews are degraded: meta description, Open Graph tags are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 17 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_weak_page_metadata.html
3,Unclear form field labels,HIGH,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"The coverage-check forms present five fields each, but the page digest does not reveal what information is requested, so visitors cannot tell what they need to enter.","The coverage-check forms present five fields each, but the page digest does not reveal what information is requested, so visitors cannot tell what they need to enter.","cta: CONTINUE; notes: Ensure each of the five form fields has a visible, descriptive label.",form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),Form & Interaction Friction,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_unclear_form_field_labels.html
4,Social proof isolated,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"Customer testimonials appear only on the homepage and rural-internet page, while the plans pages where users choose a plan and price show no reviews or social proof.","Customer testimonials appear only on the homepage and rural-internet page, while the plans pages where users choose a plan and price show no reviews or social proof.",notes: Add customer testimonials or review snippets to the plans pages near pricing and coverage CTAs.,h2: Real Stories from Real Users | h2: The Fastest Rural & On-the-Go Internet in the USA | h2: $99.95 /month,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_social_proof_isolated.html
5,Ambiguous next step,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"After coverage check, the funnel's next step is unclear due to multiple h1 questions and several CTAs without a clear sequence.","After coverage check, the funnel's next step is unclear due to multiple h1 questions and several CTAs without a clear sequence.",h1: One clear question per page; cta: One primary CTA that advances to next step; notes: Structure funnel so each page has one clear question and one primary CTA.,h1: What Best Describes Your Time on the Road? | h1: How Do You Use the Internet at Home? | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_ambiguous_next_step.html
6,Ambiguous CONTINUE button,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,conversion,"The form submit button reads only CONTINUE, which does not tell visitors what action they are confirming or what happens next.","The form submit button reads only CONTINUE, which does not tell visitors what action they are confirming or what happens next.",cta: Check My Coverage or See My Options; notes: Change submit button label to something specific.,form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_ambiguous_continue_button.html
7,Guarantee not near purchase,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"The rural-internet page mentions shopping with confidence, but the plans pages where users commit to a plan lack any guarantee or return-policy reassurance.","The rural-internet page mentions shopping with confidence, but the plans pages where users commit to a plan lack any guarantee or return-policy reassurance.",notes: Place the confidence guarantee or a return-policy statement directly on the plans pages next to the pricing.,h2: SHOP WITH CONFIDENCE | h2: The Fastest Rural & On-the-Go Internet in the USA | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_guarantee_not_near_purchase.html
8,Duplicate form submissions,HIGH,All Pages,Medium,2-5 days,3,10,no,conversion,"Two identical coverage-check forms with CONTINUE submit button appear on each page, causing confusion and potential double submissions.","Two identical coverage-check forms with CONTINUE submit button appear on each page, causing confusion and potential double submissions.",cta: CONTINUE; notes: Remove duplicate form instance so only one coverage-check form is visible per page.,form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing) | form: submit=CONTINUE (field extraction is unreliable on this site — raw HTML carries 5 field(s); do not claim fields or labels are missing),"Funnel Path, Form & Interaction Friction",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_duplicate_form_submissions.html
9,Credibility claim lacks detail,MEDIUM,/Pages/Rural-Internet,Medium,2-5 days,3,10,no,trust,"The site claims to be America's largest wireless internet provider but provides no verifiable evidence such as subscriber counts, awards, or third-party validation near that claim.","The site claims to be America's largest wireless internet provider but provides no verifiable evidence such as subscriber counts, awards, or third-party validation near that claim.","notes: Add specific supporting evidence such as subscriber numbers, press logos, or independent review ratings adjacent to the claim.",h2: Join America's Largest Wireless Internet Provider Featuring | h2: As Featured In:,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_credibility_claim_lacks_detail.html
10,Images missing alt text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"13 of 125 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","13 of 125 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 13 of 125 <img> elements have no alt attribute.,Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_images_missing_alt_text.html
